Food_Item,Category,Category_Detail,FDC_ID,Serving_Size,Protein_g_per_100g,Calories_per_100g,Fat_g_per_100g,Carbs_g_per_100g,Fiber_g_per_100g,Sugar_g_per_100g,Vitamin_A_RAE,Vitamin_C_mg,Vitamin_D_µg,Vitamin_B12_µg,Calcium_mg,Iron_mg,Magnesium_mg,Potassium_mg,Zinc_mg,Calories_per_gram_Protein
"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts, toasted",fruits,fruits,2707638,N/A,8.6,244.0,2.35,54.89,9.7,0,0.0,0.7,0.0,0.26,97.0,3.26,28.0,189.0,1.3,28.37
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",fruits,fruits,2706816,N/A,11.44,130.0,5.46,9.5,1.9,0,108.0,10.0,0.0,0.09,39.0,0.96,35.0,280.0,0.6,11.36
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",fruits,fruits,2706817,N/A,10.24,116.0,5.26,8.11,1.8,0,127.0,10.5,0.0,0.08,43.0,0.82,38.0,288.0,0.6,11.33
"Pie, NFS",fruits,fruits,2707993,N/A,2.7,296.0,15.28,37.55,1.8,0,40.0,0.5,0.1,0.0,11.0,1.23,8.0,80.0,0.22,109.63
"Baby Toddler cereal, barley, dry",fruits,fruits,2708491,N/A,13.2,376.0,6.6,69.4,6.6,0,0.0,58.3,7.1,0.8,643.0,48.21,115.0,467.0,3.13,28.48
"Tamale, sweet",fruits,fruits,2708038,N/A,2.22,259.0,12.57,35.61,2.3,0,0.0,0.0,0.0,0.0,49.0,1.4,25.0,73.0,0.49,116.67
"Applesauce, flavored",fruits,fruits,2709218,N/A,0.25,75.0,0.17,17.97,1.0,0,0.0,40.8,0.0,0.0,4.0,0.04,4.0,101.0,0.0,300.0
"Cake, pineapple, upside down",fruits,fruits,2707890,N/A,2.38,273.0,12.18,39.11,0.7,0,71.0,1.5,0.3,0.1,80.0,0.94,10.0,74.0,0.24,114.71
"Cake, strawberry shortcake",fruits,fruits,2707896,N/A,3.31,214.0,4.73,40.09,0.9,0,51.0,12.4,0.2,0.16,55.0,1.6,10.0,116.0,0.35,64.65
"Cake, torte",fruits,fruits,2707888,N/A,3.28,241.0,10.36,33.86,0.9,0,40.0,14.3,0.3,0.16,94.0,1.01,9.0,85.0,0.31,73.48
Chutney,fruits,fruits,2709309,N/A,0.33,246.0,0.06,60.6,1.0,0,0.0,7.7,0.0,0.0,19.0,0.43,4.0,68.0,0.05,745.45
Dessert pizza,fruits,fruits,2708008,N/A,1.84,204.0,7.53,32.38,1.7,0,13.0,23.9,0.0,0.0,21.0,0.88,13.0,120.0,0.41,110.87
"Doughnut, jelly",fruits,fruits,2708074,N/A,4.94,390.0,18.16,52.33,1.9,0,4.0,1.1,0.1,0.09,82.0,1.94,15.0,92.0,0.49,78.95
Scone,fruits,fruits,2707808,N/A,6.67,382.0,18.35,48.07,1.2,0,179.0,0.0,0.5,0.2,211.0,2.9,17.0,118.0,0.53,57.27
Champagne punch,fruits,fruits,2710675,N/A,0.16,120.0,0.06,11.5,0.1,0,0.0,4.0,0.0,0.0,8.0,0.25,8.0,83.0,0.1,750.0
Licuado or Batido,fruits,fruits,2705512,N/A,2.33,75.0,1.45,13.15,0.6,0,37.0,10.7,0.7,0.35,83.0,0.04,14.0,179.0,0.32,32.19
Lime souffle,fruits,fruits,2709306,N/A,8.82,328.0,15.02,39.83,0.8,0,110.0,5.0,1.5,0.5,39.0,1.34,20.0,143.0,1.25,37.19
"Muffin, oat bran",fruits,fruits,2707840,N/A,7.0,270.0,7.4,48.3,4.6,0,0.0,0.0,0.0,0.01,63.0,4.2,157.0,507.0,1.84,38.57
"Jelly sandwich, on white bread",fruits,fruits,2709138,N/A,5.72,267.0,2.16,57.5,1.8,0,0.0,0.4,0.0,0.0,129.0,2.09,19.0,92.0,0.54,46.68
"Peanut butter and jelly sandwich, with reduced fat peanut butter, on white bread",fruits,fruits,2707557,N/A,12.48,339.0,11.64,49.03,2.9,0,0.0,0.2,0.0,0.0,124.0,2.38,64.0,263.0,1.28,27.16
Baby Toddler bar,fruits,fruits,2708129,N/A,5.43,344.0,5.3,68.63,1.7,0,14.0,2.4,0.0,0.19,1053.0,13.16,19.0,180.0,0.59,63.35
Blueberry syrup,fruits,fruits,2710275,N/A,0.0,341.0,0.0,85.13,0.1,0,0.0,1.6,0.0,0.0,8.0,0.04,1.0,7.0,0.26,0.0
"Cobbler, apple",fruits,fruits,2708019,N/A,2.05,217.0,8.66,33.56,1.6,0,1.0,0.6,0.0,0.0,9.0,0.98,7.0,79.0,0.17,105.85
"Pastry, cookie type, fried",fruits,fruits,2708051,N/A,5.97,397.0,25.7,35.48,1.0,0,117.0,1.0,0.9,0.31,74.0,1.82,14.0,127.0,0.61,66.5
"Salsa, red",fruits,fruits,2709738,N/A,1.44,34.0,0.19,6.74,1.8,0,24.0,1.9,0.0,0.0,28.0,0.42,15.0,258.0,0.2,23.61
Trail mix with chocolate,fruits,fruits,2707577,N/A,11.65,503.0,32.26,48.27,5.9,0,15.0,0.8,0.0,0.13,79.0,2.15,119.0,489.0,2.34,43.18
"Trail mix with pretzels, cereal, or granola",fruits,fruits,2707578,N/A,13.09,476.0,27.66,50.59,6.0,0,0.0,1.2,0.0,0.0,60.0,3.03,115.0,479.0,2.2,36.36
"Almond butter and jelly sandwich, on white bread",fruits,fruits,2707564,N/A,10.98,374.0,16.99,44.88,4.2,0,0.0,0.2,0.0,0.0,189.0,3.0,92.0,284.0,1.38,34.06
"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on white bread",fruits,fruits,2707559,N/A,11.4,341.0,16.61,39.45,2.9,0,0.0,2.7,0.0,0.0,127.0,2.3,63.0,233.0,1.2,29.91
"Cake or cupcake, apple",fruits,fruits,2707855,N/A,2.41,376.0,17.5,52.52,0.9,0,21.0,0.2,0.3,0.12,71.0,0.9,5.0,52.0,0.26,156.02
"Carrots, raw, salad with apples",fruits,fruits,2709662,N/A,0.85,181.0,16.02,8.59,2.3,0,532.0,6.4,0.0,0.02,23.0,0.16,9.0,198.0,0.19,212.94
"Jelly sandwich, on wheat bread",fruits,fruits,2709139,N/A,6.9,265.0,2.39,55.23,3.6,0,0.0,0.4,0.0,0.0,100.0,1.97,36.0,135.0,0.83,38.41
"Peanut butter and jelly sandwich, with reduced fat peanut butter, on wheat bread",fruits,fruits,2707558,N/A,13.53,337.0,11.85,47.01,4.6,0,0.0,0.2,0.0,0.0,98.0,2.26,80.0,302.0,1.53,24.91
"Almond butter and jelly sandwich, on wheat bread",fruits,fruits,2707565,N/A,12.04,372.0,17.2,42.86,5.8,0,0.0,0.2,0.0,0.0,163.0,2.89,107.0,322.0,1.64,30.9
"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on wheat bread",fruits,fruits,2707560,N/A,12.45,339.0,16.82,37.42,4.6,0,0.0,2.7,0.0,0.0,100.0,2.19,79.0,271.0,1.45,27.23
Apple salad with dressing,fruits,fruits,2709293,N/A,1.45,180.0,14.24,12.2,2.0,0,6.0,3.4,0.0,0.02,15.0,0.28,15.0,148.0,0.24,124.14
"Muffin, whole grain",fruits,fruits,2707836,N/A,6.92,372.0,18.03,45.7,1.8,0,44.0,0.0,0.7,0.21,168.0,2.17,27.0,143.0,0.83,53.76
"Sports drink, dry concentrate, not reconstituted",fruits,fruits,2710615,N/A,0.0,380.0,1.01,97.9,0.0,0,0.0,40.6,0.0,0.0,11.0,0.17,165.0,39.0,0.03,0.0
"Sports drink, NFS",fruits,fruits,2710771,N/A,0.0,26.0,0.0,6.43,0.0,0,0.0,0.4,0.0,0.0,1.0,0.05,0.0,15.0,0.01,0.0
"Cereal or granola bar, nonfat",fruits,fruits,2708103,N/A,5.9,342.0,0.9,77.6,7.4,0,1.0,1.7,0.0,0.18,3.0,4.0,50.0,220.0,1.42,57.97
"Cookie, oatmeal, with raisins",fruits,fruits,2707946,N/A,6.2,450.0,18.1,68.7,2.8,0,5.0,0.5,0.0,0.0,37.0,2.58,33.0,142.0,0.79,72.58
"Salsa, red, homemade",fruits,fruits,2709739,N/A,1.44,34.0,0.19,6.74,1.8,0,24.0,1.9,0.0,0.0,28.0,0.42,15.0,258.0,0.2,23.61
"Cereal or granola bar, lowfat, NFS",fruits,fruits,2708102,N/A,4.17,408.0,8.33,79.17,4.2,0,3.0,0.5,0.0,0.03,333.0,1.5,71.0,224.0,1.23,97.84
"Cranberry juice drink, with high vitamin C",fruits,fruits,2710579,N/A,0.0,54.0,0.1,13.52,0.0,0,0.0,42.3,0.0,0.0,3.0,0.1,1.0,14.0,0.03,0.0
"Sports drink, low calorie",fruits,fruits,2710774,N/A,0.05,8.0,0.01,1.94,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,160.0
"Cereal or granola bar, coated with non-chocolate coating",fruits,fruits,2708111,N/A,10.2,508.0,31.1,53.4,2.8,0,5.0,0.6,0.0,0.0,108.0,1.45,67.0,339.0,1.47,49.8
Dessert dip,fruits,fruits,2710295,N/A,6.01,249.0,15.05,22.48,0.0,0,160.0,0.0,0.4,0.27,82.0,0.02,8.0,104.0,0.44,41.43
"Tea, iced, brewed, green, decaffeinated, pre-sweetened with low calorie sweetener",fruits,fruits,2710525,N/A,0.0,1.0,0.0,0.38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.01,0.0
"Tea, iced, brewed, green, decaffeinated, unsweetened",fruits,fruits,2710526,N/A,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.01,0.0
"Cranberry juice drink, with high vitamin C, light",fruits,fruits,2710588,N/A,0.1,19.0,0.0,4.7,0.1,0,0.0,32.0,0.0,0.0,10.0,0.06,3.0,45.0,0.02,190.0
"Tea, iced, bottled, black, decaffeinated, unsweetened",fruits,fruits,2710532,N/A,0.0,1.0,0.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,3.0,37.0,0.02,0.0
"Tea, iced, bottled, black, unsweetened",fruits,fruits,2710531,N/A,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tea, iced, bottled, green, unsweetened",fruits,fruits,2710535,N/A,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.01,0.0
"Tea, iced, brewed, black, decaffeinated, pre-sweetened with low calorie sweetener",fruits,fruits,2710519,N/A,0.0,2.0,0.0,0.68,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,3.0,37.0,0.02,0.0
"Tea, iced, brewed, black, decaffeinated, unsweetened",fruits,fruits,2710520,N/A,0.0,1.0,0.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,3.0,37.0,0.02,0.0
"Tea, iced, instant, black, unsweetened, dry",fruits,fruits,2710510,N/A,20.21,315.0,0.0,58.66,8.5,0,0.0,0.0,0.0,0.0,118.0,2.26,272.0,6040.0,1.69,15.59
"Tea, hot, leaf, black, decaffeinated",fruits,fruits,2710489,N/A,0.0,1.0,0.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,3.0,37.0,0.02,0.0
"Tea, iced, bottled, green",fruits,fruits,2710533,N/A,0.0,27.0,0.22,6.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.01,0.0
"Tea, iced, brewed, green, decaffeinated, pre-sweetened with sugar",fruits,fruits,2710524,N/A,0.0,31.0,0.02,7.66,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.01,0.0
"Tea, iced, instant, black, decaffeinated, unsweetened",fruits,fruits,2710498,N/A,0.06,1.0,0.0,0.17,0.0,0,0.0,0.0,0.0,0.0,3.0,0.01,2.0,18.0,0.02,16.67
"Tea, iced, instant, black, unsweetened",fruits,fruits,2710493,N/A,0.02,1.0,0.0,0.23,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,0.01,50.0
"Tea, iced, instant, green, unsweetened",fruits,fruits,2710499,N/A,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.01,0.0
"Tea, iced, brewed, green, pre-sweetened with low calorie sweetener",fruits,fruits,2710522,N/A,0.22,2.0,0.0,0.38,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,8.0,0.01,9.09
"Tea, iced, brewed, green, unsweetened",fruits,fruits,2710523,N/A,0.22,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,8.0,0.01,4.55
"Tea, iced, instant, black, pre-sweetened, dry",fruits,fruits,2710511,N/A,0.12,401.0,0.73,98.55,0.7,0,0.0,0.0,0.0,0.0,2.0,0.21,3.0,169.0,0.03,3341.67
"Tea, iced, brewed, black, pre-sweetened with low calorie sweetener",fruits,fruits,2710516,N/A,0.0,2.0,0.0,0.68,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,3.0,37.0,0.02,0.0
"Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar",fruits,fruits,2710495,N/A,0.06,32.0,0.02,7.89,0.0,0,0.0,0.0,0.0,0.0,3.0,0.01,2.0,17.0,0.02,533.33
"Tea, iced, instant, green, pre-sweetened with sugar",fruits,fruits,2710500,N/A,0.0,27.0,0.22,6.2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.01,0.0
"Tea, hot, leaf, black",fruits,fruits,2710488,N/A,0.0,1.0,0.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,3.0,37.0,0.02,0.0
"Tea, iced, brewed, black, decaffeinated, pre-sweetened with sugar",fruits,fruits,2710518,N/A,0.0,32.0,0.02,7.94,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,3.0,34.0,0.02,0.0
"Tea, iced, brewed, green, pre-sweetened with sugar",fruits,fruits,2710521,N/A,0.2,32.0,0.02,7.66,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,8.0,0.01,160.0
"Tea, iced, bottled, black",fruits,fruits,2710527,N/A,0.0,45.0,0.22,10.8,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,14.0,0.01,0.0
"Tea, iced, instant, black, pre-sweetened with sugar",fruits,fruits,2710494,N/A,0.01,30.0,0.05,7.31,0.1,0,0.0,0.0,0.0,0.0,3.0,0.02,1.0,13.0,0.01,3000.0
"Tea, iced, brewed, black, unsweetened",fruits,fruits,2710517,N/A,0.0,1.0,0.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,3.0,37.0,0.02,0.0
"Tea, iced, bottled, green, diet",fruits,fruits,2710534,N/A,0.0,4.0,0.0,0.93,0.0,0,0.0,9.5,0.0,0.0,1.0,0.0,1.0,5.0,0.01,0.0
"Tea, iced, instant, black, decaffeinated, pre-sweetened with low calorie sweetener",fruits,fruits,2710497,N/A,0.03,3.0,0.0,0.72,0.0,0,0.0,0.0,0.0,0.0,3.0,0.07,2.0,21.0,0.02,100.0
"Tea, iced, instant, black, pre-sweetened with low calorie sweetener",fruits,fruits,2710496,N/A,0.02,2.0,0.0,0.44,0.0,0,0.0,0.0,0.0,0.0,3.0,0.05,2.0,14.0,0.01,100.0
"Tea, iced, instant, green, pre-sweetened with low calorie sweetener",fruits,fruits,2710501,N/A,0.0,4.0,0.0,0.93,0.0,0,0.0,9.5,0.0,0.0,1.0,0.0,1.0,5.0,0.01,0.0
"Tea, iced, bottled, black, decaffeinated",fruits,fruits,2710528,N/A,0.0,38.0,0.0,8.75,0.0,0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,27.0,0.01,0.0
"Tea, iced, bottled, black, diet",fruits,fruits,2710529,N/A,0.0,1.0,0.0,0.22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
"Tea, iced, bottled, black, decaffeinated, diet",fruits,fruits,2710530,N/A,0.0,0.0,0.0,0.83,0.0,0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,27.0,0.01,0.0
"Tea, iced, brewed, black, pre-sweetened with sugar",fruits,fruits,2710515,N/A,0.0,32.0,0.02,7.94,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02,3.0,34.0,0.02,0.0
"Apple juice, with added vitamin C, from concentrate, shelf stable",fruits,fruits,2003590,N/A,0.0859,0.0,0.286,11.4,0.0,0,0.0,51.2,0.0,0.0,7.1,0.0402,4.86,95.9,0.00212,0.0
"Apples, fuji, with skin, raw",fruits,fruits,1750340,N/A,0.148,0.0,0.162,15.7,2.08,0,0.0,0.0,0.0,0.0,5.98,0.015,4.67,104.0,0.0168,0.0
"Apples, gala, with skin, raw",fruits,fruits,1750341,N/A,0.133,0.0,0.15,14.8,2.11,0,0.0,0.0,0.0,0.0,6.64,0.0601,4.95,106.0,0.0235,0.0
"Apples, granny smith, with skin, raw",fruits,fruits,1750342,N/A,0.266,0.0,0.138,14.1,2.51,0,0.0,0.0,0.0,0.0,5.48,0.0696,5.06,116.0,0.0228,0.0
"Apples, honeycrisp, with skin, raw",fruits,fruits,1750343,N/A,0.102,0.0,0.1,14.7,1.72,0,0.0,0.0,0.0,0.0,3.87,0.0,4.15,98.0,0.0183,0.0
"Apples, red delicious, with skin, raw",fruits,fruits,1750339,N/A,0.188,0.0,0.212,14.8,2.04,0,0.0,0.0,0.0,0.0,4.66,0.0,4.7,95.3,0.0196,0.0
"Applesauce, unsweetened, with added vitamin C",fruits,fruits,2346414,N/A,0.273,0.0,0.162,12.3,0.0,0,0.0,43.7,0.0,0.0,3.82,0.0448,3.94,108.0,0.00262,0.0
"Apricot, with skin, raw",fruits,fruits,2710815,N/A,0.961,0.0,0.405,10.2,1.51,0,0.0,3.07,0.0,0.0,11.6,0.163,8.88,231.0,0.148,0.0
"Avocado, Hass, peeled, raw",fruits,fruits,2710824,N/A,1.81,0.0,20.3,8.32,0.0,0,0.0,0.0,0.0,0.0,14.5,0.613,32.8,576.0,0.46,0.0
"Bananas, overripe, raw",fruits,fruits,1105073,N/A,0.73,357.0,0.22,20.1,1.7,0,1.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.04
"Bananas, ripe and slightly ripe, raw",fruits,fruits,1105314,N/A,0.74,97.0,0.29,23.0,1.7,0,1.0,12.3,0.0,0.0,5.0,0.0,28.0,326.0,0.16,131.08
"Blackberries, raw",fruits,fruits,2727581,N/A,1.53,0.0,0.0,0.0,0.0,0,0.0,15.4,0.0,0.0,15.4,0.208,20.6,167.0,0.189,0.0
"Blueberries, raw",fruits,fruits,2346411,N/A,0.703,0.0,0.306,14.6,0.0,0,0.0,8.06,0.0,0.0,11.7,0.34,6.18,85.6,0.0853,0.0
"Cherries, sweet, dark red, raw",fruits,fruits,2346399,N/A,1.04,0.0,0.192,16.2,0.0,0,0.0,10.4,0.0,0.0,12.3,0.105,12.1,230.0,0.0645,0.0
"Cranberry juice, not fortified, from concentrate, shelf stable",fruits,fruits,2003594,N/A,0.0,0.0,0.338,7.26,0.0,0,0.0,0.0,0.0,0.0,6.64,0.126,4.38,70.6,0.0412,0.0
"Figs, dried, uncooked",fruits,fruits,746768,N/A,3.3,249.0,0.92,63.9,9.8,0,0.0,1.2,0.0,0.0,162.0,2.03,67.6,680.0,0.66,75.45
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",fruits,fruits,2003592,N/A,0.258,0.0,0.288,15.6,0.0,0,0.0,45.6,0.0,0.0,9.74,0.0409,7.87,49.8,0.0571,0.0
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",fruits,fruits,2003593,N/A,0.0938,0.0,0.265,15.8,0.0,0,0.0,55.2,0.0,0.0,7.32,0.119,4.27,49.0,0.0177,0.0
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",fruits,fruits,2003595,N/A,0.57,0.0,0.267,9.1,0.0,0,0.0,24.1,0.0,0.0,8.88,0.0153,7.75,128.0,0.0274,0.0
"Grapefruit juice, white, canned or bottled, unsweetened",fruits,fruits,325287,N/A,0.55,37.0,0.7,7.59,0.2,0,0.0,39.4,0.0,0.0,16.0,0.07,9.6,141.0,0.04,67.27
"Grapes, green, seedless, raw",fruits,fruits,2346413,N/A,0.899,0.0,0.232,18.6,0.0,0,0.0,3.02,0.0,0.0,9.9,0.199,7.12,218.0,0.0267,0.0
"Grapes, red, seedless, raw",fruits,fruits,2346412,N/A,0.914,0.0,0.164,20.2,0.0,0,0.0,3.31,0.0,0.0,10.2,0.162,8.56,229.0,0.036,0.0
"Juice, pomegranate, from concentrate, shelf-stable",fruits,fruits,2727588,N/A,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11.0,0.0309,6.86,166.0,0.0818,0.0
"Juice, prune, shelf-stable",fruits,fruits,2727587,N/A,0.423,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.2,0.444,15.2,216.0,0.122,0.0
"Juice, tart cherry, from concentrate, shelf-stable",fruits,fruits,2727589,N/A,0.147,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.2,0.203,12.1,170.0,0.0328,0.0
"Kiwifruit (kiwi), green, peeled, raw",fruits,fruits,2710831,N/A,1.01,0.0,0.64,13.8,2.13,0,0.0,58.8,0.0,0.0,24.4,0.0366,14.8,302.0,0.455,0.0
"Kiwifruit, green, raw",fruits,fruits,327046,N/A,1.06,241.0,0.44,14.0,3.0,0,4.0,74.7,0.0,0.0,35.0,0.24,15.7,198.0,0.14,227.36
"Mandarin, seedless, peeled, raw",fruits,fruits,2710832,N/A,1.04,0.0,0.458,13.4,1.33,0,0.0,21.2,0.0,0.0,44.0,0.0,12.6,167.0,0.0687,0.0
"Mango, Ataulfo, peeled, raw",fruits,fruits,2710834,N/A,0.688,0.0,0.681,17.4,1.29,0,0.0,168.0,0.0,0.0,10.0,0.0,10.6,204.0,0.102,0.0
"Mango, Tommy Atkins, peeled, raw",fruits,fruits,2710833,N/A,0.562,0.0,0.572,15.3,1.75,0,0.0,25.5,0.0,0.0,12.4,0.0,10.3,165.0,0.0664,0.0
"Melons, cantaloupe, raw",fruits,fruits,746770,N/A,0.82,141.0,0.18,8.16,0.8,0,232.0,10.9,0.0,0.0,9.0,0.38,13.0,157.0,0.44,171.95
"Melons, honeydew, raw",fruits,fruits,2710816,N/A,0.531,0.0,0.216,8.15,0.0,0,0.0,15.7,0.0,0.0,6.58,0.0,9.5,209.0,0.06,0.0
"Nectarines, raw",fruits,fruits,327357,N/A,1.06,39.0,0.28,9.18,1.5,0,21.0,2.9,0.0,0.0,2.0,0.3,8.8,131.0,0.21,36.79
"Olives, green, Manzanilla, stuffed with pimiento",fruits,fruits,332791,N/A,1.15,543.0,12.9,4.96,4.0,0,25.0,0.0,0.0,0.0,121.0,0.31,12.4,43.0,0.09,472.17
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",fruits,fruits,2003591,N/A,0.734,0.0,0.325,10.3,0.0,0,0.0,26.9,0.0,0.0,12.8,0.0646,10.6,180.0,0.0319,0.0
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",fruits,fruits,2003597,N/A,0.812,0.0,0.356,10.0,0.0,0,0.0,30.5,0.0,0.0,9.29,0.0706,10.3,183.0,0.0321,0.0
"Oranges, raw, navels",fruits,fruits,746771,N/A,0.91,196.0,0.15,11.8,2.0,0,0.0,59.1,0.0,0.0,43.0,0.33,10.7,166.0,0.11,215.38
"Pawpaw, peeled, seeded, raw",fruits,fruits,2727577,N/A,1.15,0.0,0.0,0.0,0.0,0,0.0,27.6,0.0,0.0,9.91,0.0747,10.6,221.0,0.0849,0.0
"Peaches, yellow, raw",fruits,fruits,325430,N/A,0.91,174.0,0.27,10.1,1.5,0,24.0,4.1,0.0,0.0,4.0,0.34,8.0,122.0,0.23,191.21
"Pear, Anjou, green, with skin, raw",fruits,fruits,2710836,N/A,0.312,0.0,0.371,14.8,2.64,0,0.0,5.51,0.0,0.0,9.99,0.0,6.49,122.0,0.107,0.0
"Pears, raw, bartlett",fruits,fruits,746773,N/A,0.38,57.0,0.16,15.1,3.1,0,1.0,4.4,0.0,0.0,8.0,0.17,5.7,87.0,0.07,150.0
"Pineapple, raw",fruits,fruits,2346398,N/A,0.461,0.0,0.211,14.1,0.935,0,0.0,58.6,0.0,0.0,12.5,0.054,13.4,137.0,0.107,0.0
"Plantains, overripe, raw",fruits,fruits,2710843,N/A,1.17,0.0,0.99,29.2,1.79,0,0.0,19.1,0.0,0.0,3.9,0.315,31.7,408.0,0.149,0.0
"Plantains, ripe, raw",fruits,fruits,2710817,N/A,1.16,0.0,0.893,31.0,2.12,0,0.0,20.1,0.0,0.0,3.82,0.319,33.9,396.0,0.147,0.0
"Plantains, underripe, raw",fruits,fruits,2710818,N/A,1.23,0.0,0.685,33.6,2.53,0,0.0,18.5,0.0,0.0,4.83,0.334,29.5,406.0,0.185,0.0
"Plum, black, with skin, raw",fruits,fruits,2710837,N/A,0.578,0.0,0.282,13.5,1.35,0,0.0,1.82,0.0,0.0,4.03,0.0,6.62,186.0,0.0452,0.0
"Raspberries, raw",fruits,fruits,2346410,N/A,1.01,0.0,0.188,12.9,0.0,0,0.0,23.0,0.0,0.0,16.4,0.45,19.2,156.0,0.221,0.0
"Strawberries, raw",fruits,fruits,2346409,N/A,0.641,0.0,0.22,7.96,0.0,0,0.0,59.6,0.0,0.0,16.9,0.255,12.5,161.0,0.114,0.0
Ambrosia,fruits,fruits,2709286,N/A,0.81,75.0,0.98,16.45,2.0,0,6.0,43.8,0.0,0.0,24.0,0.12,15.0,201.0,0.12,92.59
"Apricot, canned",fruits,fruits,2709222,N/A,0.65,57.0,0.17,13.85,1.5,0,90.0,3.1,0.0,0.0,7.0,0.3,6.0,177.0,0.1,87.69
"Apricot, raw",fruits,fruits,2709221,N/A,1.4,48.0,0.39,11.12,2.0,0,96.0,10.0,0.0,0.0,13.0,0.39,10.0,259.0,0.2,34.29
"Cherries, canned",fruits,fruits,2709232,N/A,0.71,74.0,0.14,18.79,1.4,0,7.0,2.0,0.0,0.0,10.0,0.34,8.0,121.0,0.07,104.23
"Cherries, frozen",fruits,fruits,2709233,N/A,1.04,71.0,0.19,16.16,2.1,0,3.0,10.4,0.0,0.0,12.0,0.11,12.0,230.0,0.06,68.27
"Cherries, maraschino",fruits,fruits,2709229,N/A,0.22,165.0,0.21,41.97,3.2,0,2.0,0.0,0.0,0.0,54.0,0.43,4.0,21.0,0.26,750.0
"Cherries, raw",fruits,fruits,2709231,N/A,1.04,71.0,0.19,16.16,2.1,0,3.0,10.4,0.0,0.0,12.0,0.11,12.0,230.0,0.06,68.27
"Fig, canned",fruits,fruits,2709236,N/A,0.56,76.0,0.24,19.36,2.2,0,4.0,1.2,0.0,0.0,26.0,0.28,13.0,157.0,0.11,135.71
"Fig, raw",fruits,fruits,2709235,N/A,0.75,74.0,0.3,19.18,2.9,0,7.0,2.0,0.0,0.0,35.0,0.37,17.0,232.0,0.15,98.67
"Guava, raw",fruits,fruits,2709238,N/A,2.55,68.0,0.95,14.32,5.4,0,31.0,228.3,0.0,0.0,18.0,0.26,22.0,417.0,0.23,26.67
Lychee,fruits,fruits,2709240,N/A,0.83,66.0,0.44,16.53,1.3,0,0.0,71.5,0.0,0.0,5.0,0.31,10.0,171.0,0.07,79.52
"Persimmon, raw",fruits,fruits,2709259,N/A,0.58,70.0,0.19,18.59,3.6,0,81.0,7.5,0.0,0.0,8.0,0.15,9.0,161.0,0.11,120.69
